"","STATEFP","COUNTYFP","TRACTCE","GEOID","needle_count","needle_binary"
"140","01","039","962800","01039962800",0,FALSE
"141","01","047","957000","01047957000",0,FALSE
"142","01","073","003002","01073003002",0,FALSE
"143","01","073","002305","01073002305",0,FALSE
"144","01","129","044000","01129044000",0,FALSE
"145","01","097","005000","01097005000",0,FALSE
"146","01","093","964500","01093964500",0,FALSE
"147","01","101","002100","01101002100",0,FALSE
"148","01","097","003708","01097003708",0,FALSE
"149","01","101","001200","01101001200",0,FALSE
"150","01","089","001500","01089001500",0,FALSE
"151","01","097","001302","01097001302",0,FALSE
"152","01","073","001600","01073001600",0,FALSE
"153","01","089","002501","01089002501",0,FALSE
"154","01","125","011402","01125011402",0,FALSE
"155","01","097","003607","01097003607",0,FALSE
"156","01","001","021100","01001021100",0,FALSE
"157","01","069","040400","01069040400",0,FALSE
"158","01","089","000502","01089000502",0,FALSE
"159","01","089","002200","01089002200",0,FALSE
"160","01","099","076200","01099076200",0,FALSE
"161","01","101","002000","01101002000",0,FALSE
"162","01","073","012915","01073012915",0,FALSE
"163","01","119","011500","01119011500",0,FALSE
"164","01","101","005604","01101005604",0,FALSE
"165","01","089","002502","01089002502",0,FALSE
"166","01","025","957800","01025957800",0,FALSE
"167","01","131","034800","01131034800",0,FALSE
"168","01","121","011100","01121011100",0,FALSE
"169","01","097","001400","01097001400",0,FALSE
"170","01","097","001502","01097001502",0,FALSE
"171","01","101","005410","01101005410",0,FALSE
"172","01","097","003203","01097003203",0,FALSE
"173","01","101","002600","01101002600",0,FALSE
"174","01","121","011800","01121011800",0,FALSE
"175","01","083","021000","01083021000",0,FALSE
"176","01","111","000100","01111000100",0,FALSE
"177","01","015","000500","01015000500",0,FALSE
"178","01","003","010704","01003010704",0,FALSE
"179","01","025","958002","01025958002",0,FALSE
"180","01","073","010900","01073010900",0,FALSE
"181","01","097","007101","01097007101",0,FALSE
"182","01","097","003704","01097003704",0,FALSE
"183","01","101","003100","01101003100",0,FALSE
"184","01","097","001902","01097001902",0,FALSE
"185","01","103","005500","01103005500",0,FALSE
"186","01","101","003200","01101003200",0,FALSE
"187","01","073","005907","01073005907",0,FALSE
"188","01","065","040300","01065040300",0,FALSE
"189","01","097","000901","01097000901",0,FALSE
"190","01","097","003706","01097003706",0,FALSE
"191","01","117","030331","01117030331",0,FALSE
"192","01","009","050102","01009050102",0,FALSE
"193","01","101","001800","01101001800",0,FALSE
"194","01","101","002800","01101002800",0,FALSE
"195","01","111","000300","01111000300",0,FALSE
"196","01","073","010701","01073010701",0,FALSE
"197","01","033","020703","01033020703",0,FALSE
"198","01","073","004701","01073004701",0,FALSE
"199","01","101","000900","01101000900",0,FALSE
"200","01","015","981901","01015981901",0,FALSE
"201","01","039","961700","01039961700",0,FALSE
"202","01","103","000900","01103000900",0,FALSE
"203","01","015","000300","01015000300",0,FALSE
"204","01","097","001901","01097001901",0,FALSE
"205","01","097","003000","01097003000",0,FALSE
"206","01","097","003402","01097003402",0,FALSE
"207","01","073","013002","01073013002",0,FALSE
"208","01","073","013100","01073013100",0,FALSE
"209","01","073","013200","01073013200",0,FALSE
"210","01","073","013300","01073013300",0,FALSE
"211","01","089","003000","01089003000",0,FALSE
"212","01","003","011408","01003011408",0,FALSE
"213","01","003","011405","01003011405",0,FALSE
"214","01","073","010200","01073010200",0,FALSE
"215","01","117","030333","01117030333",0,FALSE
"216","01","047","957100","01047957100",0,FALSE
"217","01","117","030336","01117030336",0,FALSE
"218","01","117","030340","01117030340",0,FALSE
"219","01","117","030502","01117030502",0,FALSE
"220","01","117","030608","01117030608",0,FALSE
"221","01","117","030703","01117030703",0,FALSE
"222","01","117","030900","01117030900",0,FALSE
"223","01","089","001402","01089001402",0,FALSE
"224","01","015","002000","01015002000",0,FALSE
"225","01","103","005108","01103005108",0,FALSE
"226","01","073","003100","01073003100",0,FALSE
"227","01","117","030217","01117030217",0,FALSE
"228","01","117","030330","01117030330",0,FALSE
"229","01","125","012700","01125012700",0,FALSE
"230","01","077","011000","01077011000",0,FALSE
"231","01","003","011601","01003011601",0,FALSE
"232","01","115","040105","01115040105",0,FALSE
"233","01","101","002201","01101002201",0,FALSE
"234","01","097","000701","01097000701",0,FALSE
"235","01","097","001002","01097001002",0,FALSE
"236","01","113","030500","01113030500",0,FALSE
"237","01","101","005406","01101005406",0,FALSE
"238","01","057","020000","01057020000",0,FALSE
"239","01","003","010705","01003010705",0,FALSE
"240","01","003","011201","01003011201",0,FALSE
"241","01","055","000200","01055000200",0,FALSE
"242","01","095","030903","01095030903",0,FALSE
"243","01","069","040302","01069040302",0,FALSE
"244","01","077","010300","01077010300",0,FALSE
"245","01","069","040301","01069040301",0,FALSE
"246","01","095","030902","01095030902",0,FALSE
"247","01","101","001600","01101001600",0,FALSE
"248","01","095","031000","01095031000",0,FALSE
"249","01","123","962600","01123962600",0,FALSE
"250","01","073","003500","01073003500",0,FALSE
"251","01","073","005702","01073005702",0,FALSE
"252","01","073","012803","01073012803",0,FALSE
"253","01","073","012910","01073012910",0,FALSE
"254","01","095","031100","01095031100",0,FALSE
"255","01","033","021000","01033021000",0,FALSE
"256","01","033","020902","01033020902",0,FALSE
"257","01","105","687100","01105687100",0,FALSE
"258","01","049","961300","01049961300",0,FALSE
"259","01","055","000400","01055000400",0,FALSE
"260","01","049","961400","01049961400",0,FALSE
"261","01","073","014105","01073014105",0,FALSE
"262","01","125","010101","01125010101",0,FALSE
"263","01","081","040200","01081040200",0,FALSE
"264","01","125","012305","01125012305",0,FALSE
"265","01","049","960500","01049960500",0,FALSE
"266","01","049","960700","01049960700",0,FALSE
"267","01","123","962300","01123962300",0,FALSE
"268","01","035","960600","01035960600",0,FALSE
"269","01","045","021400","01045021400",0,FALSE
"270","01","045","020300","01045020300",0,FALSE
"271","01","103","005106","01103005106",0,FALSE
"272","01","089","011012","01089011012",0,FALSE
"273","01","103","005301","01103005301",0,FALSE
"274","01","069","040201","01069040201",0,FALSE
"275","01","089","010702","01089010702",0,FALSE
"276","01","097","002100","01097002100",0,FALSE
"277","01","043","964700","01043964700",0,FALSE
"278","01","043","965100","01043965100",0,FALSE
"279","01","073","004702","01073004702",0,FALSE
"280","01","073","011804","01073011804",0,FALSE
"281","01","125","010602","01125010602",0,FALSE
"282","01","125","010803","01125010803",0,FALSE
"283","01","101","005605","01101005605",0,FALSE
"284","01","083","020201","01083020201",0,FALSE
"285","01","001","020802","01001020802",0,FALSE
"286","01","001","020900","01001020900",0,FALSE
"287","01","097","003407","01097003407",0,FALSE
"288","01","087","231900","01087231900",0,FALSE
"289","01","109","189000","01109189000",0,FALSE
"290","01","007","010003","01007010003",0,FALSE
"291","01","001","020700","01001020700",0,FALSE
"292","01","031","010700","01031010700",0,FALSE
"293","01","089","002922","01089002922",0,FALSE
"294","01","089","001801","01089001801",0,FALSE
"295","01","015","001700","01015001700",0,FALSE
"296","01","003","010600","01003010600",0,FALSE
"297","01","069","041000","01069041000",0,FALSE
"298","01","071","950900","01071950900",0,FALSE
"299","01","081","041700","01081041700",0,FALSE
"300","01","073","014412","01073014412",0,FALSE
"301","01","073","011001","01073011001",0,FALSE
"302","01","073","003300","01073003300",0,FALSE
"303","01","045","020100","01045020100",0,FALSE
"304","01","101","006100","01101006100",0,FALSE
"305","01","045","020500","01045020500",0,FALSE
"306","01","089","011011","01089011011",0,FALSE
"307","01","097","002400","01097002400",0,FALSE
"308","01","097","002501","01097002501",0,FALSE
"309","01","121","012000","01121012000",0,FALSE
"310","01","077","011400","01077011400",0,FALSE
"311","01","083","020801","01083020801",0,FALSE
"312","01","055","010200","01055010200",0,FALSE
"313","01","015","002102","01015002102",0,FALSE
"314","01","097","002000","01097002000",0,FALSE
"315","01","097","002200","01097002200",0,FALSE
"316","01","025","957602","01025957602",0,FALSE
"317","01","025","957500","01025957500",0,FALSE
"318","01","101","002900","01101002900",0,FALSE
"319","01","127","020900","01127020900",0,FALSE
"320","01","031","010900","01031010900",0,FALSE
"321","01","073","011901","01073011901",0,FALSE
"322","01","025","957902","01025957902",0,FALSE
"323","01","041","963700","01041963700",0,FALSE
"324","01","101","005612","01101005612",0,FALSE
"325","01","097","006104","01097006104",0,FALSE
"326","01","031","011000","01031011000",0,FALSE
"327","01","003","011401","01003011401",0,FALSE
"328","01","101","003301","01101003301",0,FALSE
"329","01","101","005301","01101005301",0,FALSE
"330","01","097","007500","01097007500",0,FALSE
"331","01","125","012502","01125012502",0,FALSE
"332","01","125","010303","01125010303",0,FALSE
"333","01","055","001700","01055001700",0,FALSE
"334","01","067","030200","01067030200",0,FALSE
"335","01","021","060600","01021060600",0,FALSE
"336","01","021","060402","01021060402",0,FALSE
"337","01","101","005409","01101005409",0,FALSE
"338","01","053","970500","01053970500",0,FALSE
"339","01","077","011602","01077011602",0,FALSE
"340","01","053","970400","01053970400",0,FALSE
"341","01","053","970600","01053970600",0,FALSE
"342","01","031","010600","01031010600",0,FALSE
"343","01","097","006302","01097006302",0,FALSE
"344","01","021","060300","01021060300",0,FALSE
"345","01","021","060500","01021060500",0,FALSE
"346","01","003","010703","01003010703",0,FALSE
"347","01","067","030100","01067030100",0,FALSE
"348","01","097","006407","01097006407",0,FALSE
"349","01","117","980000","01117980000",0,FALSE
"350","01","073","011104","01073011104",0,FALSE
"351","01","073","012802","01073012802",0,FALSE
"352","01","059","973400","01059973400",0,FALSE
"353","01","071","950700","01071950700",0,FALSE
"354","01","015","002501","01015002501",0,FALSE
"355","01","047","956201","01047956201",0,FALSE
"356","01","043","964300","01043964300",0,FALSE
"357","01","043","965000","01043965000",0,FALSE
"358","01","081","042005","01081042005",0,FALSE
"359","01","073","010803","01073010803",0,FALSE
"360","01","089","010621","01089010621",0,FALSE
"361","01","073","000500","01073000500",0,FALSE
"362","01","077","011300","01077011300",0,FALSE
"363","01","005","950500","01005950500",0,FALSE
"364","01","027","959000","01027959000",0,FALSE
"365","01","119","011600","01119011600",0,FALSE
"366","01","043","965600","01043965600",0,FALSE
"367","01","097","007300","01097007300",0,FALSE
"368","01","097","006600","01097006600",0,FALSE
"369","01","097","000500","01097000500",0,FALSE
"370","01","121","011600","01121011600",0,FALSE
"371","01","055","000500","01055000500",0,FALSE
"372","01","117","030701","01117030701",0,FALSE
"373","01","127","021900","01127021900",0,FALSE
"374","01","127","020600","01127020600",0,FALSE
"375","01","073","005600","01073005600",0,FALSE
"376","01","073","005905","01073005905",0,FALSE
"377","01","073","005908","01073005908",0,FALSE
"378","01","101","005901","01101005901",0,FALSE
"379","01","097","004800","01097004800",0,FALSE
"380","01","089","002701","01089002701",0,FALSE
"381","01","097","006405","01097006405",0,FALSE
"382","01","097","007103","01097007103",0,FALSE
"383","01","077","011802","01077011802",0,FALSE
"384","01","079","979500","01079979500",0,FALSE
"385","01","089","011300","01089011300",0,FALSE
"386","01","073","005200","01073005200",0,FALSE
"387","01","089","010100","01089010100",0,FALSE
"388","01","073","012001","01073012001",0,FALSE
"389","01","103","005109","01103005109",0,FALSE
"390","01","055","010602","01055010602",0,FALSE
"391","01","041","963500","01041963500",0,FALSE
"392","01","121","011300","01121011300",0,FALSE
"393","01","073","012304","01073012304",0,FALSE
"394","01","073","002700","01073002700",0,FALSE
"395","01","073","013902","01073013902",0,FALSE
"396","01","065","040000","01065040000",0,FALSE
"397","01","103","005103","01103005103",0,FALSE
"398","01","091","973400","01091973400",0,FALSE
"399","01","009","050300","01009050300",0,FALSE
"400","01","109","188900","01109188900",0,FALSE
"401","01","003","011202","01003011202",0,FALSE
"402","01","073","005302","01073005302",0,FALSE
"403","01","073","013901","01073013901",0,FALSE
"404","01","073","005500","01073005500",0,FALSE
"405","01","133","965503","01133965503",0,FALSE
"406","01","047","957300","01047957300",0,FALSE
"407","01","089","001302","01089001302",0,FALSE
"408","01","073","001500","01073001500",0,FALSE
"409","01","029","959600","01029959600",0,FALSE
"410","01","133","965700","01133965700",0,FALSE
"411","01","077","010200","01077010200",0,FALSE
"412","01","009","050601","01009050601",0,FALSE
"413","01","097","000800","01097000800",0,FALSE
"414","01","101","001300","01101001300",0,FALSE
"415","01","101","001500","01101001500",0,FALSE
"416","01","089","002801","01089002801",0,FALSE
"417","01","101","005408","01101005408",0,FALSE
"418","01","101","005503","01101005503",0,FALSE
"419","01","101","005502","01101005502",0,FALSE
"420","01","101","005101","01101005101",0,FALSE
"421","01","073","010500","01073010500",0,FALSE
"422","01","101","002202","01101002202",0,FALSE
"423","01","055","001000","01055001000",0,FALSE
"424","01","097","007400","01097007400",0,FALSE
"425","01","029","959500","01029959500",0,FALSE
"426","01","003","011102","01003011102",0,FALSE
"427","01","003","010904","01003010904",0,FALSE
"428","01","003","011000","01003011000",0,FALSE
"429","01","121","011500","01121011500",0,FALSE
"430","01","061","050100","01061050100",0,FALSE
"431","01","073","011500","01073011500",0,FALSE
"432","01","121","010600","01121010600",0,FALSE
"433","01","073","014410","01073014410",0,FALSE
"434","01","097","007102","01097007102",0,FALSE
"435","01","037","961000","01037961000",0,FALSE
"436","01","043","965401","01043965401",0,FALSE
"437","01","005","950400","01005950400",0,FALSE
"438","01","005","950900","01005950900",0,FALSE
"439","01","005","950600","01005950600",0,FALSE
"440","01","075","030000","01075030000",0,FALSE
"441","01","093","964400","01093964400",0,FALSE
"442","01","069","041200","01069041200",0,FALSE
"443","01","101","006000","01101006000",0,FALSE
"444","01","073","012704","01073012704",0,FALSE
"445","01","101","005700","01101005700",0,FALSE
"446","01","125","010407","01125010407",0,FALSE
"447","01","125","010302","01125010302",0,FALSE
"448","01","039","962500","01039962500",0,FALSE
"449","01","083","020900","01083020900",0,FALSE
"450","01","073","011108","01073011108",0,FALSE
"451","01","117","030211","01117030211",0,FALSE
"452","01","073","014002","01073014002",0,FALSE
"453","01","051","030902","01051030902",0,FALSE
"454","01","051","030100","01051030100",0,FALSE
"455","01","073","014001","01073014001",0,FALSE
"456","01","097","006902","01097006902",0,FALSE
"457","01","047","957200","01047957200",0,FALSE
"458","01","069","042100","01069042100",0,FALSE
"459","01","097","005200","01097005200",0,FALSE
"460","01","039","961800","01039961800",0,FALSE
"461","01","039","962900","01039962900",0,FALSE
"462","01","073","014302","01073014302",0,FALSE
"463","01","073","012703","01073012703",0,FALSE
"464","01","055","010900","01055010900",0,FALSE
"465","01","121","010202","01121010202",0,FALSE
"466","01","073","010802","01073010802",0,FALSE
"467","01","081","040602","01081040602",0,FALSE
"468","01","055","010501","01055010501",0,FALSE
"469","01","103","005701","01103005701",0,FALSE
"470","01","025","957601","01025957601",0,FALSE
"471","01","097","007201","01097007201",0,FALSE
"472","01","013","952700","01013952700",0,FALSE
"473","01","115","040103","01115040103",0,FALSE
"474","01","081","041800","01081041800",0,FALSE
"475","01","097","005100","01097005100",0,FALSE
"476","01","061","050200","01061050200",0,FALSE
"477","01","069","040700","01069040700",0,FALSE
"478","01","097","002900","01097002900",0,FALSE
"479","01","003","011407","01003011407",0,FALSE
"480","01","003","011406","01003011406",0,FALSE
"481","01","097","007202","01097007202",0,FALSE
"482","01","117","030214","01117030214",0,FALSE
"483","01","117","030216","01117030216",0,FALSE
"484","01","073","010704","01073010704",0,FALSE
"485","01","015","002600","01015002600",0,FALSE
"486","01","117","030103","01117030103",0,FALSE
"487","01","015","002103","01015002103",0,FALSE
"488","01","073","012200","01073012200",0,FALSE
"489","01","035","960300","01035960300",0,FALSE
"490","01","133","965800","01133965800",0,FALSE
"491","01","003","010906","01003010906",0,FALSE
"492","01","015","000900","01015000900",0,FALSE
"493","01","097","004000","01097004000",0,FALSE
"494","01","097","005700","01097005700",0,FALSE
"495","01","097","007000","01097007000",0,FALSE
"496","01","083","020401","01083020401",0,FALSE
"497","01","077","010900","01077010900",0,FALSE
"498","01","047","956300","01047956300",0,FALSE
"499","01","045","020802","01045020802",0,FALSE
"500","01","129","043900","01129043900",0,FALSE
"501","01","121","010301","01121010301",0,FALSE
"502","01","061","050300","01061050300",0,FALSE
"503","01","133","965502","01133965502",0,FALSE
"504","01","125","012405","01125012405",0,FALSE
"505","01","101","001900","01101001900",0,FALSE
"506","01","089","002911","01089002911",0,FALSE
"507","01","089","010301","01089010301",0,FALSE
"508","01","057","020300","01057020300",0,FALSE
"509","01","115","040106","01115040106",0,FALSE
"510","01","057","020400","01057020400",0,FALSE
"511","01","057","020200","01057020200",0,FALSE
"512","01","065","040400","01065040400",0,FALSE
"513","01","047","956800","01047956800",0,FALSE
"514","01","033","020400","01033020400",0,FALSE
"515","01","047","956500","01047956500",0,FALSE
"516","01","033","020801","01033020801",0,FALSE
"517","01","073","010002","01073010002",0,FALSE
"518","01","073","010301","01073010301",0,FALSE
"519","01","073","010401","01073010401",0,FALSE
"520","01","055","001300","01055001300",0,FALSE
"521","01","095","030202","01095030202",0,FALSE
"522","01","095","030801","01095030801",0,FALSE
"523","01","101","005902","01101005902",0,FALSE
"524","01","071","951100","01071951100",0,FALSE
"525","01","127","021400","01127021400",0,FALSE
"526","01","003","011502","01003011502",0,FALSE
"527","01","003","010905","01003010905",0,FALSE
"528","01","015","001400","01015001400",0,FALSE
"529","01","007","010004","01007010004",0,FALSE
"530","01","047","956600","01047956600",0,FALSE
"531","01","071","950500","01071950500",0,FALSE
"532","01","097","003703","01097003703",0,FALSE
"533","01","003","010903","01003010903",0,FALSE
"534","01","055","010401","01055010401",0,FALSE
"535","01","013","953400","01013953400",0,FALSE
"536","01","003","011101","01003011101",0,FALSE
"537","01","089","000701","01089000701",0,FALSE
"538","01","081","040700","01081040700",0,FALSE
"539","01","125","010405","01125010405",0,FALSE
"540","01","125","010406","01125010406",0,FALSE
"541","01","125","011703","01125011703",0,FALSE
"542","01","073","003802","01073003802",0,FALSE
"543","01","045","021200","01045021200",0,FALSE
"544","01","073","003803","01073003803",0,FALSE
"545","01","125","010202","01125010202",0,FALSE
"546","01","125","010701","01125010701",0,FALSE
"547","01","101","002400","01101002400",0,FALSE
"548","01","073","012305","01073012305",0,FALSE
"549","01","097","001800","01097001800",0,FALSE
"550","01","073","012906","01073012906",0,FALSE
"551","01","115","040201","01115040201",0,FALSE
"552","01","049","960200","01049960200",0,FALSE
"553","01","101","000300","01101000300",0,FALSE
"554","01","125","010702","01125010702",0,FALSE
"555","01","125","010201","01125010201",0,FALSE
"556","01","043","965402","01043965402",0,FALSE
"557","01","131","035100","01131035100",0,FALSE
"558","01","095","030201","01095030201",0,FALSE
"559","01","097","002301","01097002301",0,FALSE
"560","01","043","965200","01043965200",0,FALSE
"561","01","043","965300","01043965300",0,FALSE
"562","01","043","964500","01043964500",0,FALSE
"563","01","103","005302","01103005302",0,FALSE
"564","01","003","010500","01003010500",0,FALSE
"565","01","103","005404","01103005404",0,FALSE
"566","01","095","030701","01095030701",0,FALSE
"567","01","073","001100","01073001100",0,FALSE
"568","01","103","000400","01103000400",0,FALSE
"569","01","095","030402","01095030402",0,FALSE
"570","01","113","030901","01113030901",0,FALSE
"571","01","083","020101","01083020101",0,FALSE
"572","01","083","020202","01083020202",0,FALSE
"573","01","043","964100","01043964100",0,FALSE
"574","01","073","012002","01073012002",0,FALSE
"575","01","127","020700","01127020700",0,FALSE
"576","01","123","962100","01123962100",0,FALSE
"577","01","089","010701","01089010701",0,FALSE
"578","01","049","960800","01049960800",0,FALSE
"579","01","049","960100","01049960100",0,FALSE
"580","01","069","040900","01069040900",0,FALSE
"581","01","071","950800","01071950800",0,FALSE
"582","01","101","005610","01101005610",0,FALSE
"583","01","069","040800","01069040800",0,FALSE
"584","01","077","010400","01077010400",0,FALSE
"585","01","077","010700","01077010700",0,FALSE
"586","01","087","232000","01087232000",0,FALSE
"587","01","043","964900","01043964900",0,FALSE
"588","01","071","950100","01071950100",0,FALSE
"589","01","071","951000","01071951000",0,FALSE
"590","01","067","030500","01067030500",0,FALSE
"591","01","103","005702","01103005702",0,FALSE
"592","01","103","005304","01103005304",0,FALSE
"593","01","001","020100","01001020100",0,FALSE
"594","01","017","954300","01017954300",0,FALSE
"595","01","123","962502","01123962502",0,FALSE
"596","01","123","962200","01123962200",0,FALSE
"597","01","109","189100","01109189100",0,FALSE
"598","01","073","014413","01073014413",0,FALSE
"599","01","015","000400","01015000400",0,FALSE
"600","01","089","001901","01089001901",0,FALSE
"601","01","089","002000","01089002000",0,FALSE
"602","01","115","040104","01115040104",0,FALSE
"603","01","015","001800","01015001800",0,FALSE
"604","01","095","030904","01095030904",0,FALSE
"605","01","089","000201","01089000201",0,FALSE
"606","01","045","020801","01045020801",0,FALSE
"607","01","097","003406","01097003406",0,FALSE
"608","01","073","003400","01073003400",0,FALSE
"609","01","097","003501","01097003501",0,FALSE
"610","01","077","011200","01077011200",0,FALSE
"611","01","077","011501","01077011501",0,FALSE
"612","01","017","954700","01017954700",0,FALSE
"613","01","087","231400","01087231400",0,FALSE
"614","01","089","000403","01089000403",0,FALSE
"615","01","101","001100","01101001100",0,FALSE
"616","01","089","010800","01089010800",0,FALSE
"617","01","127","021100","01127021100",0,FALSE
"618","01","101","005800","01101005800",0,FALSE
"619","01","121","011900","01121011900",0,FALSE
"620","01","103","005101","01103005101",0,FALSE
"621","01","015","001600","01015001600",0,FALSE
"622","01","007","010002","01007010002",0,FALSE
"623","01","089","000503","01089000503",0,FALSE
"624","01","097","003608","01097003608",0,FALSE
"625","01","045","020400","01045020400",0,FALSE
"626","01","073","012104","01073012104",0,FALSE
"627","01","125","012501","01125012501",0,FALSE
"628","01","125","010403","01125010403",0,FALSE
"629","01","125","010802","01125010802",0,FALSE
"630","01","125","010500","01125010500",0,FALSE
"631","01","031","011100","01031011100",0,FALSE
"632","01","001","020600","01001020600",0,FALSE
